INSTITUTIONS,MEAN,MEDIAN,MODE,LOWER CI,UPPER CI,REGION,geo_rank,overall_rank,year ,,,
"Washington University, St. Louis",2.9,3,,,,USA,30,39,2009,,,
Syracuse University,2.8,3,,,,USA,34,44,2009,,,
University of Miami,2.8,3,,,,USA,34,44,2009,,,
Carnegie Mellon University,2.6,2.5,,,,USA,36,,2009,,,
Georgetown University,2.6,2.5,,,,USA,36,,2009,,,
"University of California, Davis",2.6,2.5,,,,USA,36,,2009,,,
"University of Illinois, Chicago",2.6,2.5,,,,USA,36,,2009,,,
University of Virginia,2.6,2.5,,,,USA,36,,2009,,,
Northwestern University,2.5,2.5,,,,USA,41,,2009,,,
"University of California, Santa Barbara",2.5,2.5,,,,USA,41,,2009,,,
Florida State University,2.4,2.5,,,,USA,43,,2009,,,
Johns Hopkins University,2.4,2.5,,,,USA,43,,2009,,,
"University of Connecticut, Storrs",2.4,2.5,,,,USA,43,,2009,,,
"University of Washington, Seattle",2.4,2.5,,,,USA,43,,2009,,,
"University of Minnesota, Minneapolis-St. Paul",2.3,2.5,,,,USA,47,,2009,,,
Boston University,2.2,2,,,,USA,48,,2009,,,
Rice University,2.2,2,,,,USA,48,,2009,,,
"University of Illinois, Urbana-Champaign",2.2,2,,,,USA,48,,2009,,,
"University of Missouri, Columbia",2.2,2,,,,USA,48,,2009,,,
University of Rochester,2.2,2.5,,,,USA,48,,2009,,,
University of Utah,2.2,2,,,,USA,48,,2009,,,
Arizona State University,2,2,,,,USA,,,2009,,,
Purdue University,2,2,,,,USA,,,2009,,,
Saint Louis University,2,2,,,,USA,,,2009,,,
University at Buffalo,1.9,2,,,,USA,,,2009,,,
"University of California, Santa Cruz",1.3,1.5,,,,USA,,,2009,,,
University of Cincinnati,1.8,2,,,,USA,,,2009,,,
University of Kansas,1.4,1.5,,,,USA,,,2009,,,
"University of Nebraska, Lincoln",2.1,2,,,,USA,,,2009,,,
"University of Oklahoma, Norman",2,2,,,,USA,,,2009,,,
University of South Carolina,1.8,2,,,,USA,,,2009,,,
University of South Florida,1.8,2,,,,USA,,,2009,,,
Oxford University,4.7,5,,,,UK,1,2,2009,,,
University of St. Andrews/Stirling Joint Program,3.6,3.5,,,,UK,2,17,2009,,,
Cambridge University,3.4,3.5,,,,UK,3,24,2009,,,
University College London,3.2,3.5,,,,UK,4,28,2009,,,
"King's College, London",3.1,3,,,,UK,5,32,2009,,,
"Birkbeck College, University of London",3,3,,,,UK,6,33,2009,,,
University of Sheffield,2.9,3,,,,UK,7,39,2009,,,
London School of Economics,2.8,3,,,,UK,8,44,2009,,,
University of Nottingham,2.7,2.5,,,,UK,9,47,2009,,,
University of Reading,2.7,2.5,,,,UK,9,47,2009,,,
University of Warwick,2.7,2.5,,,,UK,9,47,2009,,,
University of Bristol,2.6,2.5,,,,UK,12,,2009,,,
University of Edinburgh,2.6,2.75,,,,UK,12,,2009,,,
University of Leeds,2.6,2.5,,,,UK,12,,2009,,,
University of York,2.2,2,,,,UK,15,,2009,,,
University of Birmingham,1.9,2,,,,UK,,,2009,,,
University of Durham,2,2,,,,UK,,,2009,,,
University of Exeter,1.8,2,,,,UK,,,2009,,,
University of Glasgow,1.9,2,,,,UK,,,2009,,,
University of Manchester,1.7,2,,,,UK,,,2009,,,
University of Toronto,3.6,3.5,,,,Canada,1,17,2009,,,
University of Western Ontario,2.7,3,,,,Canada,2,47,2009,,,
McGill University,2.5,2.5,,,,Canada,3,,2009,,,
University of British Columbia,2.4,2.5,,,,Canada,4,,2009,,,
Queen's University,2,2,,,,Canada,,,2009,,,
Simon Fraser University,1.7,1.75,,,,Canada,,,2009,,,
University of Alberta,2.1,2,,,,Canada,,,2009,,,
University of Calgary,1.9,2,,,,Canada,,,2009,,,
"York University, Toronto",1.8,2,,,,Canada,,,2009,,,
Australian National University,3.7,4,,,,Australasia,1,14,2009,,,
University of Sydney,3,3,,,,Australasia,2,33,2009,,,
Monash University,2.5,2.5,,,,Australasia,3,,2009,,,
University of Auckland,2.3,2.5,,,,Australasia,4,,2009,,,
University of Melbourne,1.8,2,,,,Australasia,,,2009,,,
University of Otago,1.9,2,,,,Australasia,,,2009,,,
